"Jurisdiction","Product Name(s)","Disease Area(s)","Patent Description","Patent Status","Patent Application Date (dd/mm/yyyy)","Patent Application Number","Publication / Grant Number(s)","Expected Expiry Date (dd/mm/yyyy)","Last Updated On (dd/mm/yyyy)","Priority Number(s)","PCT Related Application","Other PCT Related Application(s)"
Brazil,AT-527,COVID-19 (drug candidate),AT-527 compound and analogues (Markush structure) & their use in HCV,Filed,06/03/2016,BR112017018977,BR112017018977A2,06/03/2036,23/02/2021,US201562253958 US2016021276 US201662276597 US201562129319,WO2016144918A1,,,
Brazil,AT-527,COVID-19 (drug candidate),Use of AT-527 and similar compounds for RNA virus treatment (other than HCV),Filed,05/09/2017,BR112019004297,BR112019004297A2,05/09/2037,26/11/2020,US2017050323 US201662384664,WO2018048937A1,,,
Brazil,AT-527,COVID-19 (drug candidate),AT-527 hemisulfate salt,Filed,30/01/2018,BR112019014738,BR112019014738A2,30/01/2038,26/11/2020,US201762453437 US201762575248 US2018016301 US201762488366 US201762469912,WO2018144640A1,,
Brazil,"Baricitinib 2 mg, Baricitinib 4 mg","Arthritis, Rheumatoid, COVID-19 (drug candidate)",Baricitinib compound,Granted,09/03/2009,BRPI0909040,BRPI0909040B1 BRPI0909040B8,09/03/2029,29/07/2021,US2009036635 US3566208 US14498209,WO2009114512A1,,
Brazil,Bevacizumab 25 mg/ml,"Cancer, COVID-19 (drug candidate), Macular Degeneration",hVEGF antagonist composition,Withdrawn,27/10/1992,BR9207175,BR9207175A,,10/10/2017,US9209218,WO9410202A1,,,
Brazil,Bevacizumab 25 mg/ml,"Cancer, COVID-19 (drug candidate), Macular Degeneration",Humanized antibodies,Revoked,13/05/1997,BR1101137K,BR1101137KB1,,28/11/2017,US14620693,WO9222653A1,WO9404679A1,,
Brazil,Bevacizumab 25 mg/ml,"Cancer, COVID-19 (drug candidate), Macular Degeneration",Anti-VEGF antibodies,Expired,02/04/1998,BR9809387,BR9809387A BRPI9809387B1 BRPI9809387B8,02/04/2018,17/09/2021,US9806604 US90846997 US83350497,WO9845331A2,WO9845332A2 WO9845332A3,,
Brazil,Bevacizumab 25 mg/ml,"Cancer, COVID-19 (drug candidate), Macular Degeneration",Anti-VEGF antibodies,Expired,02/04/1998,BRPI9816350,BRPI9816350B1 BRPI9816350B8,02/04/2018,30/07/2021,US90846997 US83350497,WO9845331A2,WO9845332A2 WO9845332A3,,
Brazil,Bevacizumab 25 mg/ml,"Cancer, COVID-19 (drug candidate), Macular Degeneration",Anti-VEGF antibodies & methods for making them,Expired,02/04/1998,BR9809388,BR9809388A BR9809388B1 BRPI9809388B8,03/06/2023,29/07/2021,US83350497 US9806724,WO9845332A2,WO9845331A2 WO9845331A3,,
Brazil,Bevacizumab 25 mg/ml,"Cancer, COVID-19 (drug candidate), Macular Degeneration",Cancer treatment with anti-VEGF antibodies,Rejected,27/05/2004,BRPI0411200,BRPI0411200A,,24/02/2021,US47448003 US2004017078,WO2005000900A1,,,
